Dataset name: 	 ATE (m) 	 RPE_t (m) 	 RPE_R (deg) 	 Frame Rate (fps)
rgbd_dataset_freiburg1_xyz	0.026123852230280405	0.021879437546739672	1.3078242045168411	None
rgbd_dataset_freiburg1_rpy	0.06507874996815018	0.03735663095369089	2.882441619008224	None
rgbd_dataset_freiburg1_desk	0.03081607846179326	0.03463248894919471	2.134305240168371	None
rgbd_dataset_freiburg1_desk2	0.04837590072195099	0.044931626497057425	2.7584246912073165	None
rgbd_dataset_freiburg1_room	0.17649562775474806	0.038740116382461096	2.3417844847911926	None
rgbd_dataset_freiburg1_plant	0.05551541165023328	0.02551565179159044	1.4808363373235245	None
rgbd_dataset_freiburg2_xyz	0.0044596310371080175	0.0038535198179703747	0.3207974982292581	None
rgbd_dataset_freiburg2_rpy	0.006227227641148634	0.003714098227165387	0.353907734875954	None
rgbd_dataset_freiburg2_desk	0.0318612348583916	0.011729165750161901	0.5624968737500261	None
rgbd_dataset_freiburg2_desk_with_person	0.031704795869544285	0.010976286204420288	0.5387455240344818	None
rgbd_dataset_freiburg3_long_office_household	0.0869662752656004	0.011193605790506812	0.5269112134067234	None
rgbd_dataset_freiburg3_structure_texture_far	0.011915003613696263	0.01403684386401431	0.5044575854098453	None
rgbd_dataset_freiburg3_structure_texture_near	0.014991218203730337	0.010685032777274764	0.6029984682593368	None
rgbd_dataset_freiburg3_nostructure_texture_far	0.6166341727827185	0.5047309752634075	14.049422365780096	None
rgbd_dataset_freiburg3_nostructure_texture_near_withloop	0.28118249645247645	0.07216379438014615	3.093682959718691	None
rgbd_dataset_freiburg3_cabinet	0.1146016041227298	0.049941767735988525	1.9512198354464367	None
rgbd_dataset_freiburg3_large_cabinet	0.32446370706011535	0.23172116063763845	3.791112241119384	None
iving_room_traj0_frei_png	0.016205576475133324	0.009318089279960553	0.35015260585038155	None
living_room_traj1_frei_png	0.019923345646329492	0.008785131218933654	0.2096920140962118	None
living_room_traj2_frei_png	0.014812798939742468	0.005874619244727789	0.1545857362671976	None
living_room_traj3_frei_png	0.05774795113240556	0.015740631831872024	0.2554196946452177	None
sfm_garden	0.0	0.0	0.0	None
sfm_bench	0.3273224978286764	0.2640408703329473	9.189470785332139	None
sofa_1	0.5315876028176165	0.2443839332210742	10.362763653398694	None

==================================== Means ====================================
	0.42945505032314646	0.25421240177701077	9.776117219365418
